month,count2010,count2011,count2012,count2013,count2014,count2015,count2016,count2017,count2018
1,372875,368772,389615,367209,362306,404613,394450,328905,396531
2,237316,246407,263777,265126,274024,231701,284146,274151,227175
3,341799,256411,366459,288179,354501,337810,265223,262454,267670
4,289781,314774,318020,287316,331056,306254,297809,301954,283286
5,239790,289996,297906,259601,221931,252503,273333,227884,219065
6,340902,364746,465604,397273,324898,346923,374028,327630,311224
7,496878,516284,623768,470478,537035,515713,531996,486686,474953
8,784405,591202,634567,623311,536753,661519,572945,619021,611418
9,658230,661391,569058,423698,465607,554812,462263,594814,469921
10,355658,394799,387237,271322,412088,424794,310743,370165,298412
11,264113,291709,288772,243324,273425,317325,294792,298443,291977
12,360360,426614,378326,352004,367795,418221,381630,386174,358586